variant,instance,seed,service_rate,runtime_s
thr0.6,lrc207,42,0.4117647058823529,0.6773791313171387
thr0.6,lrc207,1,0.4117647058823529,0.6687438488006592
thr0.6,lrc207,2,0.4117647058823529,0.6766929626464844
thr0.6,lrc207,3,0.4117647058823529,0.6624772548675537
thr0.6,lrc207,4,0.4117647058823529,0.6771481037139893
thr0.6,lrc208,42,0.43137254901960786,1.0825600624084473
thr0.6,lrc208,1,0.43137254901960786,1.0780198574066162
thr0.6,lrc208,2,0.43137254901960786,1.0552239418029785
thr0.6,lrc208,3,0.43137254901960786,1.061568021774292
thr0.6,lrc208,4,0.43137254901960786,1.0836570262908936
